outcome,action,TPR,FPR,ANS,eventTime
"red",WAIT,15,91,0.2,1002.137
"red",WAIT,15,91,0.2,1037.22
"red",WAIT,15,91,0.2,1056.28
"red",WAIT,15,91,0.2,1072.978
"red",WAIT,15,91,0.2,1089.071
"blue",WAIT,15,91,0.2,1108.178
"red",WAIT,15,91,0.2,1124.035
"red",WAIT,15,91,0.2,1139.992
"red",WAIT,15,91,0.2,1174.001
"blue",WAIT,15,91,0.2,1246.128
"red",WAIT,15,91,0.2,1260.309
"red",WAIT,15,91,0.2,1291.128
"red",WAIT,15,91,0.2,1308.978
"red",WAIT,15,91,0.2,1328.004
"red",WAIT,15,91,0.2,1344.053
"red",WAIT,15,91,0.2,1361.024
"red",WAIT,15,91,0.2,1378.093
"red",WAIT,15,91,0.2,1458.978
"red",WAIT,15,91,0.2,1476.149
"red",WAIT,15,91,0.2,1495.126
"red",WAIT,15,91,0.2,1509.982
"red",WAIT,15,91,0.2,1563.14
"red",WAIT,15,91,0.2,1576.249
"red",WAIT,15,91,0.2,1593.978
"red",WAIT,15,91,0.2,1607.978
"red",WAIT,15,91,0.2,1624.293
"red",WAIT,15,91,0.2,1639.98
"red",WAIT,15,91,0.2,1656.008
"red",WAIT,15,91,0.2,1671.978
"red",WAIT,15,91,0.2,1688.995
"red",WAIT,15,91,0.2,1741.184
"red",WAIT,15,91,0.2,1755.978
"red",WAIT,15,91,0.2,1826.007
"red",WAIT,15,91,0.2,1842.211
"red",WAIT,15,91,0.2,1877.272
"red",WAIT,15,91,0.2,1892.113
"blue",WAIT,15,91,0.2,1910.078
"red",WAIT,15,91,0.2,2000.188
"red",WAIT,15,91,0.2,2016.098
"blue",WAIT,15,91,0.2,2033.036
"red",WAIT,15,91,0.2,2068.234
"red",WAIT,15,91,0.2,2082.978
"red",WAIT,15,91,0.2,2115.303
"blue",WAIT,15,91,0.2,2147.319
"red",WAIT,15,91,0.2,2180.978
"red",WAIT,15,91,0.2,2212.996
"red",WAIT,15,91,0.2,2247.077
"red",WAIT,15,91,0.2,2263.09
"red",WAIT,15,91,0.2,2283.24
"red",WAIT,15,91,0.2,2337.079
"red",WAIT,15,91,0.2,2367.305
"red",WAIT,15,91,0.2,2386.372
"red",WAIT,15,91,0.2,2433.146
"red",WAIT,15,91,0.2,2448.978
"red",WAIT,15,91,0.2,2467.978
"red",WAIT,15,91,0.2,2482.04
"red",WAIT,15,91,0.2,42.047
"red",WAIT,15,91,0.2,136.087
"red",WAIT,15,91,0.2,149.062
"red",WAIT,15,91,0.2,162.038
"red",WAIT,15,91,0.2,179.978
"red",WAIT,15,91,0.2,225.978
"red",WAIT,15,91,0.2,260.978
"red",WAIT,15,91,0.2,279.978
"red",WAIT,15,91,0.2,297.997
"red",WAIT,15,91,0.2,313.209
"red",WAIT,15,91,0.2,330.981
"red",WAIT,15,91,0.2,381.978
"red",WAIT,15,91,0.2,413.005
"red",WAIT,15,91,0.2,431.034
"red",WAIT,15,91,0.2,535.151
"red",WAIT,15,91,0.2,566.237
"red",WAIT,15,91,0.2,596.985
"red",WAIT,15,91,0.2,681.111
"red",WAIT,15,91,0.2,698.978
"red",WAIT,15,91,0.2,731.164
"red",WAIT,15,91,0.2,746.978
"red",WAIT,15,91,0.2,767.13
"red",WAIT,15,91,0.2,802.052
"red",WAIT,15,91,0.2,831.978
"blue",WAIT,15,91,0.2,848.978
"blue",WAIT,15,91,0.2,886.101
"red",WAIT,15,91,0.2,920.298
"blue",WAIT,15,91,0.2,939.032
"red",WAIT,15,91,0.2,958.978
"red",WAIT,15,91,0.2,972.035
"blue",WAIT,15,91,0.2,990.039
"blue",WAIT,15,91,0.2,1010.174
"blue",WAIT,15,91,0.2,1079.124
"red",WAIT,15,91,0.2,1184.111
"red",WAIT,15,91,0.2,1213.38
"red",WAIT,15,91,0.2,1229.125
"red",WAIT,15,91,0.2,1248.248
"red",WAIT,15,91,0.2,1280.024
"red",WAIT,15,91,0.2,1294.982
"red",WAIT,15,91,0.2,1361.048
"red",WAIT,15,91,0.2,1392.103
"red",WAIT,15,91,0.2,1410.978
"red",WAIT,15,91,0.2,1426.978
"blue",WAIT,15,91,0.2,1441.978
"red",WAIT,15,91,0.2,1489.05
"red",WAIT,15,91,0.2,1504.978
"red",WAIT,15,91,0.2,1541.046
"red",WAIT,15,91,0.2,1557.127
"blue",WAIT,15,91,0.2,1574.035
"red",WAIT,15,91,0.2,1592.978
"red",WAIT,15,91,0.2,1645.978
"red",WAIT,15,91,0.2,1662.978
"red",WAIT,15,91,0.2,1678.978
"red",WAIT,15,91,0.2,1713.978
"blue",WAIT,15,91,0.2,1827.054
"red",WAIT,15,91,0.2,1878.983
"red",WAIT,15,91,0.2,1914.062
"red",WAIT,15,91,0.2,1945.0
"red",WAIT,15,91,0.2,1982.135
"red",WAIT,15,91,0.2,1997.125
"red",WAIT,15,91,0.2,2013.978
"blue",WAIT,15,91,0.2,2081.978
"red",WAIT,15,91,0.2,2116.978
"red",WAIT,15,91,0.2,2170.088
"red",WAIT,15,91,0.2,2223.01
"red",WAIT,15,91,0.2,2262.051
"red",WAIT,15,91,0.2,2278.978
"red",WAIT,15,91,0.2,2384.047
"red",WAIT,15,91,0.2,2451.978
"red",WAIT,15,91,0.2,2471.073
"red",WAIT,15,91,0.2,2484.012
"red",WAIT,15,91,0.2,27.543
"red",WAIT,15,91,0.2,41.98
"red",WAIT,15,91,0.2,58.089
"red",WAIT,15,91,0.2,72.978
"red",WAIT,15,91,0.2,87.991
"red",WAIT,15,91,0.2,119.121
"red",WAIT,15,91,0.2,137.331
"red",WAIT,15,91,0.2,166.455
"red",WAIT,15,91,0.2,200.052
"red",WAIT,15,91,0.2,233.277
"red",WAIT,15,91,0.2,266.154
"blue",WAIT,15,91,0.2,332.04
"red",WAIT,15,91,0.2,350.002
"red",WAIT,15,91,0.2,388.178
"red",WAIT,15,91,0.2,448.332
"red",WAIT,15,91,0.2,494.978
"red",WAIT,15,91,0.2,543.279
"red",WAIT,15,91,0.2,559.978
"red",WAIT,15,91,0.2,574.041
"red",WAIT,15,91,0.2,591.074
"red",WAIT,15,91,0.2,608.978
"red",WAIT,15,91,0.2,627.034
"red",WAIT,15,91,0.2,676.978
"red",WAIT,15,91,0.2,693.978
"red",WAIT,15,91,0.2,711.131
"red",WAIT,15,91,0.2,728.086
"red",WAIT,15,91,0.2,761.052
"blue",WAIT,15,91,0.2,794.987
"red",WAIT,15,91,0.2,828.055
"red",WAIT,15,91,0.2,860.024
"red",WAIT,15,91,0.2,945.982
"red",WAIT,15,91,0.2,1036.045
"red",WAIT,15,91,0.2,1051.098
"blue",WAIT,15,91,0.2,1066.978
"red",WAIT,15,91,0.2,1117.003
"red",WAIT,15,91,0.2,1149.125
"red",WAIT,15,91,0.2,1164.057
"blue",WAIT,15,91,0.2,1180.131
"red",WAIT,15,91,0.2,1193.03
"red",WAIT,15,91,0.2,1223.978
"red",WAIT,15,91,0.2,1256.193
"red",WAIT,15,91,0.2,1304.058
"red",WAIT,15,91,0.2,1322.176
"red",WAIT,15,91,0.2,1338.988
"blue",WAIT,15,91,0.2,1356.151
"blue",WAIT,15,91,0.2,1406.108
"blue",WAIT,15,91,0.2,1439.004
"red",WAIT,15,91,0.2,1468.066
"red",WAIT,15,91,0.2,1485.124
"red",WAIT,15,91,0.2,1516.978
"red",WAIT,15,91,0.2,1551.978
"red",WAIT,15,91,0.2,1567.017
"red",WAIT,15,91,0.2,1579.978
"red",WAIT,15,91,0.2,1598.177
"red",WAIT,15,91,0.2,1646.241
"red",WAIT,15,91,0.2,1763.154
"blue",WAIT,15,91,0.2,1779.107
"red",WAIT,15,91,0.2,1796.29
"red",WAIT,15,91,0.2,1830.217
"red",WAIT,15,91,0.2,1861.398
"red",WAIT,15,91,0.2,1878.978
"red",WAIT,15,91,0.2,1895.978
"red",WAIT,15,91,0.2,1923.978
"red",WAIT,15,91,0.2,1940.978
"red",WAIT,15,91,0.2,1975.176
"red",WAIT,15,91,0.2,2028.195
"red",WAIT,15,91,0.2,2080.466
"red",WAIT,15,91,0.2,2126.988
"red",WAIT,15,91,0.2,2160.091
"red",WAIT,15,91,0.2,2196.978
"red",WAIT,15,91,0.2,2249.985
"red",WAIT,15,91,0.2,2264.038
"red",WAIT,15,91,0.2,2312.994
"red",WAIT,15,91,0.2,2332.179
"blue",WAIT,15,91,0.2,2366.021
"red",WAIT,15,91,0.2,2397.983
